classification,productId,productName,insurer,supportStatus,economicsStatus,kernel,calculatorCoverage,reviewCoverage,templateCoverage,matchedCalculatorNeedle,matchedReviewNeedle,matchedTemplateNeedle
covered,tokio-marine-goaffluence,#goAffluence,Tokio Marine,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,tokio-marine-goaffluence + accidental death benefit today,#goaffluence + current accidental-death estimate,tokio-marine-goaffluence + kernel:current-accidental-death-benefit-estimate
covered,tokio-marine-goaffluence,#goAffluence,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-goaffluence + current death-benefit estimate,#goaffluence + death benefit today,tokio-marine-goaffluence + kernel:current-death-benefit-estimate
covered,tokio-marine-goassure,#goAssure,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-goassure + death benefit today,#goassure + current-state death-benefit estimate,tokio-marine-goassure + kernel:current-death-benefit-estimate
covered,tokio-marine-goassure,#goAssure,Tokio Marine,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,tokio-marine-goassure + ti benefit today,#goassure + ti benefit today,tokio-marine-goassure + kernel:current-ti-benefit-estimate
covered,tokio-marine-goassure,#goAssure,Tokio Marine,supported,supported,kernel:current-tpd-benefit-estimate,true,true,true,tokio-marine-goassure + tpd benefit today,#goassure + current tpd benefit estimate,tokio-marine-goassure + kernel:current-tpd-benefit-estimate
covered,tokio-marine-goclassic,#goClassic,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-goclassic + current death-benefit estimate,#goclassic + death benefit today,tokio-marine-goclassic + kernel:current-death-benefit-estimate
covered,tokio-marine-goclassic-secure,#goClassic Secure,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-goclassic-secure + current death-benefit estimate,#goclassic secure + death benefit today,tokio-marine-goclassic-secure + kernel:current-death-benefit-estimate
covered,tokio-marine-goelite,#goElite,Tokio Marine,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,tokio-marine-goelite + accidental death benefit today,#goelite + current accidental-death estimate,tokio-marine-goelite + kernel:current-accidental-death-benefit-estimate
covered,tokio-marine-goelite,#goElite,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-goelite + current death-benefit estimate,#goelite + death benefit today,tokio-marine-goelite + kernel:current-death-benefit-estimate
covered,tokio-marine-goelite-secure,#goElite Secure,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-goelite-secure + current death-benefit estimate,#goelite secure + death benefit today,tokio-marine-goelite-secure + kernel:current-death-benefit-estimate
covered,tokio-marine-goluxe,#goLuxe,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-goluxe + current death-benefit estimate,#goluxe + death benefit today,tokio-marine-goluxe + kernel:current-death-benefit-estimate
covered,tokio-marine-gowealth-enrich,#goWealth Enrich,Tokio Marine,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,tokio-marine-gowealth-enrich + accidental death benefit today,#gowealth enrich + accidental death benefit today,tokio-marine-gowealth-enrich + kernel:current-accidental-death-benefit-estimate
covered,tokio-marine-gowealth-enrich,#goWealth Enrich,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-gowealth-enrich + death benefit today,#gowealth enrich + death benefit today,tokio-marine-gowealth-enrich + kernel:current-death-benefit-estimate
covered,tokio-marine-affluence-atfuture,Affluence@Future,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-affluence-atfuture + death benefit today,affluence@future + death benefit today,tokio-marine-affluence-atfuture + kernel:current-death-benefit-estimate
covered,aia-elite-secure-income-5-pay,AIA Elite Secure Income - 5 Pay,AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia elite secure income - 5 pay + accidental death benefit today,aia elite secure income - 5 pay + accidental death benefit today,aia elite secure income - 5 pay + kernel:current-accidental-death-benefit-estimate
